Grasp,Object,Task,Video,TimeStamp,Subject,Duration,A,B,C,GraspedDimension,Rigidity,Roundness,Mass,CCObj,GraspSize,PIP,OppType,Shape,Type,Force,Constraint,Class,CCTask,blackRatio
thumb-3 finger,towel,handling cleaning supplies,159,00:37.7,Housekeeper 2,0.72,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
power sphere,towel,handling cleaning supplies,159,00:38.4,Housekeeper 2,0.72,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,CCTask,CCTask,CCTask,1,0
extension type,towel,handling cleaning supplies,159,00:39.1,Housekeeper 2,11.84,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
platform,towel,wiping surface,159,00:51.0,Housekeeper 2,26.8,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,159,01:17.8,Housekeeper 2,1.48,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
platform,towel,wiping surface,159,01:19.2,Housekeeper 2,17.12,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,159,01:36.4,Housekeeper 2,12.32,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
extension type,towel,handling cleaning supplies,159,01:48.7,Housekeeper 2,0.72,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
no grasp,,,159,01:49.4,Housekeeper 2,0.68,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,towel,folding,159,01:50.1,Housekeeper 2,2.28,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,159,01:52.4,Housekeeper 2,0.52,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,spray bottle,spraying surface,159,01:52.9,Housekeeper 2,4.44,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0
no grasp,,,159,01:57.3,Housekeeper 2,0.36,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping surface,159,01:57.7,Housekeeper 2,5.68,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,159,02:03.4,Housekeeper 2,1.96,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
platform,towel,wiping surface,159,02:05.3,Housekeeper 2,9.4,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,159,02:14.7,Housekeeper 2,7.64,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
thumb-4 finger,towel,handling cleaning supplies,159,02:22.4,Housekeeper 2,0.44,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
no grasp,,,159,02:22.8,Housekeeper 2,0.56,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,spray bottle,spraying surface,159,02:23.4,Housekeeper 2,2.72,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0
no grasp,,,159,02:26.1,Housekeeper 2,1.12,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping surface,159,02:27.2,Housekeeper 2,82.56,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
extension type,towel,handling cleaning supplies,159,03:49.8,Housekeeper 2,0.8,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
precision disk,towel,wiping surface,159,03:50.6,Housekeeper 2,10.72,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
power sphere,towel,handling cleaning supplies,159,04:01.3,Housekeeper 2,4.4,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,CCTask,CCTask,CCTask,1,0
no grasp,,,159,04:05.7,Housekeeper 2,8.4,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping surface,159,04:14.1,Housekeeper 2,1.49,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
extension type,towel,handling cleaning supplies,159,04:15.6,Housekeeper 2,0.79,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
precision disk,towel,wiping surface,159,04:16.4,Housekeeper 2,40.08,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
extension type,towel,handling cleaning supplies,159,04:56.4,Housekeeper 2,2.8,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
no grasp,,,159,04:59.2,Housekeeper 2,0.76,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,spray bottle,spraying surface,159,05:00.0,Housekeeper 2,2,15,6,3.5,b/c,squeezable,non-round,400,0,6,Power,Palm,bladed,irregular,weight,utt,use,0,0
no grasp,,,159,05:02.0,Housekeeper 2,4.48,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,towel,wiping surface,159,05:06.5,Housekeeper 2,22.2,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
extension type,towel,wiping surface,159,05:28.7,Housekeeper 2,16.52,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,159,05:45.2,Housekeeper 2,5.28,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
extension type,towel,wiping surface,159,05:50.5,Housekeeper 2,1.8,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,159,05:52.3,Housekeeper 2,5.84,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
inferior pincer,towel,handling cleaning supplies,159,05:58.1,Housekeeper 2,1.25,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
no grasp,,,159,05:59.4,Housekeeper 2,0.15,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
index finger extension,toy,arranging object,159,05:59.5,Housekeeper 2,1.12,,,,CCObj,CCObj,CCObj,,1,,Power,Palm,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,06:00.6,Housekeeper 2,0.6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,cap,arranging object,159,06:01.2,Housekeeper 2,5.6,,,,CCObj,CCObj,CCObj,,1,1,Power,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,06:06.8,Housekeeper 2,0.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,paper,arranging object,159,06:07.7,Housekeeper 2,5,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,06:12.7,Housekeeper 2,0.2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game,arranging object,159,06:12.9,Housekeeper 2,1.16,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,06:14.1,Housekeeper 2,0.6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,towel,handling cleaning supplies,159,06:14.7,Housekeeper 2,1.8,,,,floppy,floppy,floppy,250,0,,Power,Palm,floppy,floppy,CCTask,CCTask,CCTask,1,0
precision disk,towel,wiping surface,159,06:16.5,Housekeeper 2,5.16,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
no grasp,,,159,06:21.6,Housekeeper 2,0.44,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,towel,folding,159,06:22.1,Housekeeper 2,1.2,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,weight,uuu,hold,0,0
extension type,towel,folding,159,06:23.3,Housekeeper 2,0.88,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,weight,uuu,hold,0,0
no grasp,,,159,06:24.2,Housekeeper 2,0.68,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,paper,arranging object,159,06:24.8,Housekeeper 2,1.52,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,06:26.4,Housekeeper 2,0.48,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,remote,arranging object,159,06:26.8,Housekeeper 2,4.08,15,6,2.5,b,rigid,non-round,165,0,6,Precision,Pad,bladed,irregular,weight,uuu,hold,0,0
no grasp,,,159,06:30.9,Housekeeper 2,0.96,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,cap,arranging object,159,06:31.9,Housekeeper 2,1.12,,,,CCObj,CCObj,CCObj,,1,1,Power,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,toy,arranging object,159,06:33.0,Housekeeper 2,0.8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,towel,,159,06:33.8,Housekeeper 2,0.36,,,,floppy,floppy,floppy,250,0,,Power,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
light tool,cord,arranging object,159,06:34.2,Housekeeper 2,4.28,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,06:38.4,Housekeeper 2,0.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,cord,arranging object,159,06:39.3,Housekeeper 2,0.76,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
extension type,toy,arranging object,159,06:40.1,Housekeeper 2,1.84,,,,CCObj,CCObj,CCObj,,1,,Power,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,06:41.9,Housekeeper 2,0.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,cord,arranging object,159,06:42.8,Housekeeper 2,1.61,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
extension type,toy,arranging object,159,06:44.4,Housekeeper 2,0.35,,,,CCObj,CCObj,CCObj,,1,,Power,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,06:44.8,Housekeeper 2,3.68,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-index finger,cord,arranging object,159,06:48.4,Housekeeper 2,0.32,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
light tool,cord,arranging object,159,06:48.8,Housekeeper 2,4.8,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,06:53.6,Housekeeper 2,2.24,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,cord,arranging object,159,06:55.8,Housekeeper 2,5.84,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Pad,prolate,cylinder,weight,uuu,hold,0,0
light tool,cord,arranging object,159,07:01.6,Housekeeper 2,1.32,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
adducted thumb,cord,arranging object,159,07:03.0,Housekeeper 2,4.52,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
small diameter,cord,arranging object,159,07:07.5,Housekeeper 2,0.96,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
medium wrap,cord,arranging object,159,07:08.4,Housekeeper 2,6,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,07:14.4,Housekeeper 2,2.56,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game console,arranging object,159,07:17.0,Housekeeper 2,3.44,,,,CCObj,CCObj,CCObj,,1,5,Power,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,07:20.4,Housekeeper 2,0.68,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
light tool,cord,arranging object,159,07:21.1,Housekeeper 2,1.6,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
adducted thumb,cord,arranging object,159,07:22.7,Housekeeper 2,1.76,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,07:24.5,Housekeeper 2,5.2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,cord,arranging object,159,07:29.7,Housekeeper 2,2.16,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,07:31.8,Housekeeper 2,2.24,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
inferior pincer,cord,arranging object,159,07:34.1,Housekeeper 2,1.36,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
light tool,cord,arranging object,159,07:35.4,Housekeeper 2,1.46,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
adducted thumb,cord,arranging object,159,07:36.9,Housekeeper 2,3.58,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
extension type,cord,arranging object,159,07:40.5,Housekeeper 2,1.72,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Pad,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,07:42.2,Housekeeper 2,1.2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,arranging object,159,07:43.4,Housekeeper 2,0.8,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,07:44.2,Housekeeper 2,0.48,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,picture,arranging object,159,07:44.7,Housekeeper 2,0.68,15,11.5,0.3,c,squeezable,non-round,12.5,0,0.3,Intermediate,Side,oblate,short prism,weight,uuu,hold,0,0
lateral tripod,picture,arranging object,159,07:45.4,Housekeeper 2,0.4,15,11.5,0.3,c,squeezable,non-round,12.5,0,0.3,Intermediate,Side,oblate,short prism,weight,uuu,hold,0,0
lateral tripod,picture,arranging object,159,07:45.8,Housekeeper 2,1.45,15,11.5,0.3,c,squeezable,non-round,12.5,0,0.3,Intermediate,Side,oblate,short prism,weight,uuu,hold,0,0
lateral tripod,picture,arranging object,159,07:47.2,Housekeeper 2,1.23,15,11.5,0.3,c,squeezable,non-round,12.5,0,0.3,Intermediate,Side,oblate,short prism,weight,uuu,hold,0,0
large diameter,game,arranging object,159,07:48.4,Housekeeper 2,2.68,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Palm,oblate,short prism,weight,uuu,hold,0,0
extension type,game,arranging object,159,07:51.1,Housekeeper 2,9.12,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:00.2,Housekeeper 2,1,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
parallel extension,paper,arranging object,159,08:01.2,Housekeeper 2,0.52,15,15,0.2,b/c,squeezable,non-round,10,0,15,Precision,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:01.8,Housekeeper 2,1.76,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,paper,arranging object,159,08:03.5,Housekeeper 2,0.48,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:04.0,Housekeeper 2,0.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game,arranging object,159,08:04.9,Housekeeper 2,0.48,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:05.4,Housekeeper 2,0.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,game,arranging object,159,08:06.2,Housekeeper 2,0.24,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Palm,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:06.5,Housekeeper 2,0.84,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,paper,arranging object,159,08:07.3,Housekeeper 2,4.6,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:11.9,Housekeeper 2,0.68,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game,arranging object,159,08:12.6,Housekeeper 2,0.52,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:13.1,Housekeeper 2,1.48,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,game,arranging object,159,08:14.6,Housekeeper 2,0.52,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Precision,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:15.1,Housekeeper 2,0.56,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
parallel extension,paper,arranging object,159,08:15.7,Housekeeper 2,1.12,15,15,0.2,b/c,squeezable,non-round,10,0,15,Precision,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:16.8,Housekeeper 2,0.12,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,paper,arranging object,159,08:16.9,Housekeeper 2,4.92,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:21.8,Housekeeper 2,0.6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
parallel extension,paper,arranging object,159,08:22.4,Housekeeper 2,1.76,15,15,0.2,b/c,squeezable,non-round,10,0,15,Precision,Pad,oblate,short prism,weight,uuu,hold,0,0
extension type,paper,arranging object,159,08:24.2,Housekeeper 2,2.84,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:27.0,Housekeeper 2,0.73,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,paper,arranging object,159,08:27.8,Housekeeper 2,1.87,15,15,0.2,b/c,squeezable,non-round,10,0,15,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:29.6,Housekeeper 2,0.68,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
precision disk,bowl,arranging object,159,08:30.3,Housekeeper 2,1.24,12.5,12.5,1,c,rigid,non-round,225,0,1,Precision,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,08:31.6,Housekeeper 2,2.2,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,guitar pick,arranging object,159,08:33.8,Housekeeper 2,0.48,3,2,0.2,c,fragile,non-round,3,0,0.2,Precision,Pad,bladed,irregular,weight,uuu,hold,0,0
no grasp,,,159,08:34.2,Housekeeper 2,0.64,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
thumb-4 finger,small part,arranging object,159,08:34.9,Housekeeper 2,0.88,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,08:35.8,Housekeeper 2,2.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
stick,small part,arranging object,159,08:38.6,Housekeeper 2,1.08,,,,CCObj,CCObj,CCObj,,1,,Intermediate,Side,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,08:39.7,Housekeeper 2,1.64,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,arranging object,159,08:41.4,Housekeeper 2,0.32,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,08:41.7,Housekeeper 2,2.24,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
stick,remote,arranging object,159,08:43.9,Housekeeper 2,0.8,15,6,2.5,b,rigid,non-round,165,0,6,Intermediate,Side,bladed,irregular,weight,uuu,hold,0,0
medium wrap,remote,arranging object,159,08:44.7,Housekeeper 2,2.76,15,6,2.5,b,rigid,non-round,165,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0
no grasp,,,159,08:47.5,Housekeeper 2,0.88,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,battery,arranging object,159,08:48.4,Housekeeper 2,0.64,6,1,1,b/c,rigid,a,33.5,0,1,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,08:49.0,Housekeeper 2,0.96,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
power sphere,cord,arranging object,159,08:50.0,Housekeeper 2,4.52,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,08:54.5,Housekeeper 2,0.6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
large diameter,remote,arranging object,159,08:55.1,Housekeeper 2,2.96,15,6,2.5,b,rigid,non-round,165,0,6,Power,Palm,bladed,irregular,weight,uuu,hold,0,0
no grasp,,,159,08:58.0,Housekeeper 2,0.76,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,arranging object,159,08:58.8,Housekeeper 2,3.16,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,09:02.0,Housekeeper 2,0.96,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,arranging object,159,09:02.9,Housekeeper 2,0.88,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
no grasp,,,159,09:03.8,Housekeeper 2,2.8,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
tripod,small part,arranging object,159,09:06.6,Housekeeper 2,1.88,,,,CCObj,CCObj,CCObj,,1,,Precision,Pad,CCObj,CCObj,weight,uuu,hold,0,0
thumb-4 finger,pen,arranging object,159,09:08.5,Housekeeper 2,2.88,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
thumb-3 finger,pen,arranging object,159,09:11.4,Housekeeper 2,4.36,14.5,0.9,0.9,b/c,rigid,a,17.5,0,0.9,Precision,Pad,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,09:15.7,Housekeeper 2,1.72,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
adducted thumb,cord,arranging object,159,09:17.4,Housekeeper 2,1.36,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,09:18.8,Housekeeper 2,1.6,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,cord,arranging object,159,09:20.4,Housekeeper 2,1.08,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,09:21.5,Housekeeper 2,2.84,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game,arranging object,159,09:24.3,Housekeeper 2,1.68,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,09:26.0,Housekeeper 2,0.92,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
medium wrap,cord,arranging object,159,09:26.9,Housekeeper 2,6.28,15,0.75,0.75,b/c,squeezable,a,65,0,0.75,Power,Palm,prolate,cylinder,weight,uuu,hold,0,0
no grasp,,,159,09:33.2,Housekeeper 2,2.24,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game,arranging object,159,09:35.4,Housekeeper 2,5.08,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,09:40.5,Housekeeper 2,1.64,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
extension type,game,arranging object,159,09:42.2,Housekeeper 2,1.92,15,14.5,1.25,c,squeezable,non-round,85,0,1.25,Power,Pad,oblate,short prism,weight,uuu,hold,0,0
no grasp,,,159,09:44.1,Housekeeper 2,0.64,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
lateral pinch,towel,handling cleaning supplies,159,09:44.7,Housekeeper 2,2.36,,,,floppy,floppy,floppy,250,0,,Intermediate,Side,floppy,floppy,CCTask,CCTask,CCTask,1,0
precision disk,towel,wiping surface,159,09:47.1,Housekeeper 2,13.88,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0
precision disk,towel,wiping surface,160,00:00.0,Housekeeper 2,31.72,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,interaction,ttr,use,0,0.359375
parallel extension,towel,handling cleaning supplies,160,00:31.7,Housekeeper 2,0.64,,,,floppy,floppy,floppy,250,0,,Precision,Pad,floppy,floppy,CCTask,CCTask,CCTask,1,0
no grasp,,,160,00:32.4,Housekeeper 2,0.72,,,,NG,NG,NG,,NG,,NG,NG,NG,NG,NG,NG,NG,NG,0
