,ID,Subject,Grasp,ADL,Video,StartFrame,EndFrame,OppType,PIP,VirtualFingers,Thumb,Duration,depthStart,depthEnd,SequenceNum,BigCategories,SmallCategories
949,Grasp00950,subject 6,large diameter,cooking,subject_6_gopro_seg_1.mp4,10437,10631,Palm,Power,2-5,Abd,6.47,10043,10228,0,pow-prismatic,pow-cylindric
951,Grasp00952,subject 6,sphere 3 finger,cooking,subject_6_gopro_seg_1.mp4,11312,11370,Pad,Power,2-3,Abd,1.93,10902,10957,0,circular,pow-circular
952,Grasp00953,subject 6,adduction grip,cooking,subject_6_gopro_seg_1.mp4,11374,11411,Side,Intermediate,3,Abd,1.23,10961,10997,0,pre-prismatic,pre-pinch
953,Grasp00954,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_1.mp4,11555,11564,Pad,Precision,2-5,Abd,0.3,11133,11142,0,pre-prismatic,pre-prismatic
955,Grasp00956,subject 6,lateral tripod,cooking,subject_6_gopro_seg_1.mp4,11865,11900,Side,Intermediate,3,Add,1.17,11429,11464,0,int-lateral,int-lateral
956,Grasp00957,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_1.mp4,12243,12286,Pad,Precision,2-5,Abd,1.43,11791,11831,0,pre-prismatic,pre-prismatic
958,Grasp00959,subject 6,lateral tripod,cooking,subject_6_gopro_seg_1.mp4,12475,12521,Side,Intermediate,3,Add,1.53,12002,12048,0,int-lateral,int-lateral
960,Grasp00961,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_1.mp4,12740,12761,Pad,Precision,2-5,Abd,0.7,12252,12273,0,pre-prismatic,pre-prismatic
961,Grasp00962,subject 6,adducted thumb,cooking,subject_6_gopro_seg_1.mp4,12764,13539,Palm,Power,2-5,Add,25.83,12276,12993,1,pow-prismatic,pow-oblique
962,Grasp00963,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_1.mp4,13719,13733,Pad,Precision,2-5,Abd,0.47,13173,13187,0,pre-prismatic,pre-prismatic
963,Grasp00964,subject 6,adducted thumb,cooking,subject_6_gopro_seg_1.mp4,13734,14019,Palm,Power,2-5,Add,9.5,13188,13461,1,pow-prismatic,pow-oblique
964,Grasp00965,subject 6,sphere 3 finger,cooking,subject_6_gopro_seg_1.mp4,14069,14181,Pad,Power,2-3,Abd,3.73,13508,13616,0,circular,pow-circular
967,Grasp00968,subject 6,lateral tripod,cooking,subject_6_gopro_seg_1.mp4,14863,14914,Side,Intermediate,3,Add,1.7,14288,14339,0,int-lateral,int-lateral
972,Grasp00973,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_1.mp4,15673,15682,Pad,Precision,2-5,Abd,0.3,15057,15066,0,pre-prismatic,pre-prismatic
974,Grasp00975,subject 6,adducted thumb,cooking,subject_6_gopro_seg_1.mp4,16208,18224,Palm,Power,2-5,Add,67.2,15556,17514,2,pow-prismatic,pow-oblique
975,Grasp00976,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_1.mp4,18237,18258,Pad,Precision,2-5,Abd,0.7,17528,17550,3,pre-prismatic,pre-prismatic
976,Grasp00977,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,80,102,Pad,Precision,2-3,Abd,0.73,80,102,0,pre-prismatic,pre-prismatic
978,Grasp00979,subject 6,lateral,cooking,subject_6_gopro_seg_2.mp4,856,883,Side,Intermediate,2-5,Add,0.9,847,874,2,int-lateral,int-lateral
979,Grasp00980,subject 6,lateral,cooking,subject_6_gopro_seg_2.mp4,1135,1159,Side,Intermediate,2-5,Add,0.8,1123,1145,0,int-lateral,int-lateral
980,Grasp00981,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,1166,2112,Palm,Power,2-5,Add,31.53,1147,2082,0,pow-prismatic,pow-oblique
981,Grasp00982,subject 6,lateral,cooking,subject_6_gopro_seg_2.mp4,2119,2137,Side,Intermediate,2-5,Add,0.6,2062,2079,1,int-lateral,int-lateral
982,Grasp00983,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_2.mp4,2144,2151,Pad,Precision,2-5,Abd,0.23,2086,2093,2,pre-prismatic,pre-prismatic
983,Grasp00984,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,2168,2208,Side,Intermediate,3,Add,1.33,2112,2152,0,int-lateral,int-lateral
984,Grasp00985,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,2220,2230,Pad,Precision,2-3,Abd,0.33,2164,2174,0,pre-prismatic,pre-prismatic
986,Grasp00987,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,2954,3007,Side,Intermediate,3,Add,1.77,2877,2927,0,int-lateral,int-lateral
989,Grasp00990,subject 6,palmar pinch,cooking,subject_6_gopro_seg_2.mp4,3411,3505,Pad,Precision,2,Abd,3.13,3292,3376,0,pre-prismatic,pre-pinch
990,Grasp00991,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,3456,3505,Pad,Precision,2-3,Abd,1.63,3323,3377,1,pre-prismatic,pre-prismatic
991,Grasp00992,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_2.mp4,3719,3787,Pad,Precision,2-5,Abd,2.27,3579,3639,0,pre-prismatic,pre-prismatic
992,Grasp00993,subject 6,tip pinch,cooking,subject_6_gopro_seg_2.mp4,3800,3928,Pad,Precision,2,Abd,4.27,3652,3756,0,pre-prismatic,pre-pinch
993,Grasp00994,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,3949,3974,Pad,Precision,2-3,Abd,0.83,3777,3802,0,pre-prismatic,pre-prismatic
994,Grasp00995,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,4270,4357,Side,Intermediate,3,Add,2.9,4093,4180,0,int-lateral,int-lateral
995,Grasp00996,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,4369,4382,Pad,Precision,2-3,Abd,0.43,4190,4201,0,pre-prismatic,pre-prismatic
997,Grasp00998,subject 6,large diameter,cooking,subject_6_gopro_seg_2.mp4,4850,5078,Palm,Power,2-5,Abd,7.6,4663,4869,0,pow-prismatic,pow-cylindric
998,Grasp00999,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,5095,5157,Side,Intermediate,3,Add,2.07,4882,4946,0,int-lateral,int-lateral
999,Grasp01000,subject 6,small diameter,cooking,subject_6_gopro_seg_2.mp4,5447,5475,Palm,Power,2-5,Abd,0.93,5221,5246,0,pow-prismatic,pow-cylindric
1000,Grasp01001,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,5482,5506,Pad,Precision,2-3,Abd,0.8,5253,5277,0,pre-prismatic,pre-prismatic
1001,Grasp01002,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,5572,5630,Pad,Precision,2-3,Abd,1.93,5343,5397,0,pre-prismatic,pre-prismatic
1003,Grasp01004,subject 6,quadpod,cooking,subject_6_gopro_seg_2.mp4,5871,5975,Pad,Precision,2-4,Abd,3.47,5631,5729,0,circular,pre-circular
1004,Grasp01005,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,5990,6019,Pad,Precision,2-3,Abd,0.97,5745,5768,0,pre-prismatic,pre-prismatic
1006,Grasp01007,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,6532,6579,Pad,Precision,2-3,Abd,1.57,6249,6287,0,pre-prismatic,pre-prismatic
1007,Grasp01008,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,6586,6663,Side,Intermediate,3,Add,2.57,6294,6370,0,int-lateral,int-lateral
1008,Grasp01009,subject 6,sphere 4 finger,cooking,subject_6_gopro_seg_2.mp4,6889,6992,Pad,Power,2,Abd,3.43,6593,6696,0,circular,pow-circular
1009,Grasp01010,subject 6,precision disk,cooking,subject_6_gopro_seg_2.mp4,6995,7133,Pad,Precision,2-5,Abd,4.6,6699,6819,0,circular,pre-circular
1010,Grasp01011,subject 6,tip pinch,cooking,subject_6_gopro_seg_2.mp4,7208,7608,Pad,Precision,2,Abd,13.33,6894,7277,0,pre-prismatic,pre-pinch
1011,Grasp01012,subject 6,tip pinch,cooking,subject_6_gopro_seg_2.mp4,7351,7499,Pad,Precision,2,Abd,4.93,7031,7166,1,pre-prismatic,pre-pinch
1012,Grasp01013,subject 6,tip pinch,cooking,subject_6_gopro_seg_2.mp4,7526,7608,Pad,Precision,2,Abd,2.73,7193,7275,2,pre-prismatic,pre-pinch
1013,Grasp01014,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,7614,7675,Side,Intermediate,3,Add,2.03,7286,7344,0,int-lateral,int-lateral
1014,Grasp01015,subject 6,precision disk,cooking,subject_6_gopro_seg_2.mp4,7697,7888,Pad,Precision,2-5,Abd,6.37,7367,7557,0,circular,pre-circular
1016,Grasp01017,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_2.mp4,8662,8774,Pad,Precision,2-4,Abd,3.73,8315,8421,0,pre-prismatic,pre-prismatic
1017,Grasp01018,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,8790,8812,Side,Intermediate,3,Add,0.73,8437,8459,0,int-lateral,int-lateral
1019,Grasp01020,subject 6,large diameter,cooking,subject_6_gopro_seg_2.mp4,9077,9106,Palm,Power,2-5,Abd,0.97,8724,8743,0,pow-prismatic,pow-cylindric
1020,Grasp01021,subject 6,large diameter,cooking,subject_6_gopro_seg_2.mp4,9145,9196,Palm,Power,2-5,Abd,1.7,8782,8833,1,pow-prismatic,pow-cylindric
1021,Grasp01022,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,9210,9272,Pad,Precision,2-3,Abd,2.07,8838,8900,0,pre-prismatic,pre-prismatic
1022,Grasp01023,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,9340,9511,Pad,Precision,2-3,Abd,5.7,8942,9091,0,pre-prismatic,pre-prismatic
1023,Grasp01024,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_2.mp4,9555,9672,Pad,Precision,2-4,Abd,3.9,9136,9236,0,pre-prismatic,pre-prismatic
1024,Grasp01025,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,9711,9816,Pad,Precision,2-3,Abd,3.5,9275,9376,0,pre-prismatic,pre-prismatic
1025,Grasp01026,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_2.mp4,9834,9929,Pad,Precision,2-5,Abd,3.17,9394,9477,0,pre-prismatic,pre-prismatic
1026,Grasp01027,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,9971,10067,Pad,Precision,2-3,Abd,3.2,9519,9615,0,pre-prismatic,pre-prismatic
1027,Grasp01028,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,10079,10134,Pad,Precision,2-3,Abd,1.83,9627,9679,0,pre-prismatic,pre-prismatic
1029,Grasp01030,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,10283,10516,Palm,Power,2-5,Add,7.77,9820,10032,1,pow-prismatic,pow-oblique
1031,Grasp01032,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,10554,10609,Pad,Precision,2-3,Abd,1.83,10070,10115,0,pre-prismatic,pre-prismatic
1032,Grasp01033,subject 6,tripod,cooking,subject_6_gopro_seg_2.mp4,10685,10721,Pad,Precision,2-3,Abd,1.2,10192,10227,0,circular,pre-circular
1033,Grasp01034,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,10738,10759,Pad,Precision,2-3,Abd,0.7,10240,10261,0,pre-prismatic,pre-prismatic
1034,Grasp01035,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,10760,10944,Side,Intermediate,3,Add,6.13,10262,10421,1,int-lateral,int-lateral
1035,Grasp01036,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,10991,11116,Palm,Power,2-5,Add,4.17,10468,10575,0,pow-prismatic,pow-oblique
1036,Grasp01037,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,11348,11357,Pad,Precision,2-3,Abd,0.3,10802,10811,0,pre-prismatic,pre-prismatic
1038,Grasp01039,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,12186,12312,Pad,Precision,2-3,Abd,4.2,11636,11753,2,pre-prismatic,pre-prismatic
1039,Grasp01040,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,12444,12549,Pad,Precision,2-3,Abd,3.5,11881,11979,0,pre-prismatic,pre-prismatic
1041,Grasp01042,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_2.mp4,12603,12646,Pad,Precision,2-5,Abd,1.43,12030,12071,1,pre-prismatic,pre-prismatic
1043,Grasp01044,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,12752,12907,Palm,Power,2-5,Add,5.17,12172,12305,1,pow-prismatic,pow-oblique
1044,Grasp01045,subject 6,inferior pincer,cooking,subject_6_gopro_seg_2.mp4,12915,13046,Pad,Precision,2,Abd,4.37,12313,12435,0,pre-prismatic,pre-pinch
1045,Grasp01046,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,13892,13904,Pad,Precision,2-3,Abd,0.4,13268,13280,0,pre-prismatic,pre-prismatic
1047,Grasp01048,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,14677,14705,Side,Intermediate,3,Add,0.93,14039,14064,2,int-lateral,int-lateral
1048,Grasp01049,subject 6,palmar pinch,cooking,subject_6_gopro_seg_2.mp4,14724,14761,Pad,Precision,2,Abd,1.23,14076,14104,0,pre-prismatic,pre-pinch
1049,Grasp01050,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,14770,14782,Pad,Precision,2-3,Abd,0.4,14109,14121,0,pre-prismatic,pre-prismatic
1050,Grasp01051,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,14783,14877,Palm,Power,2-5,Add,3.13,14122,14200,1,pow-prismatic,pow-oblique
1051,Grasp01052,subject 6,palmar pinch,cooking,subject_6_gopro_seg_2.mp4,14881,14967,Pad,Precision,2,Abd,2.87,14204,14275,2,pre-prismatic,pre-pinch
1052,Grasp01053,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,14970,15024,Palm,Power,2-5,Add,1.8,14278,14323,3,pow-prismatic,pow-oblique
1053,Grasp01054,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,15032,15151,Pad,Precision,2-3,Abd,3.97,14331,14450,4,pre-prismatic,pre-prismatic
1055,Grasp01056,subject 6,palmar pinch,cooking,subject_6_gopro_seg_2.mp4,15386,15432,Pad,Precision,2,Abd,1.53,14676,14717,0,pre-prismatic,pre-pinch
1056,Grasp01057,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,15442,15452,Pad,Precision,2-3,Abd,0.33,14725,14735,0,pre-prismatic,pre-prismatic
1057,Grasp01058,subject 6,adducted thumb,cooking,subject_6_gopro_seg_2.mp4,15454,15530,Palm,Power,2-5,Add,2.53,14737,14804,1,pow-prismatic,pow-oblique
1058,Grasp01059,subject 6,tripod,cooking,subject_6_gopro_seg_2.mp4,15536,15654,Pad,Precision,2-3,Abd,3.93,14810,14928,2,circular,pre-circular
1060,Grasp01061,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,15923,15931,Pad,Precision,2-3,Abd,0.27,15189,15197,0,pre-prismatic,pre-prismatic
1063,Grasp01064,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_2.mp4,16877,16909,Pad,Precision,2-5,Abd,1.07,16127,16153,0,pre-prismatic,pre-prismatic
1064,Grasp01065,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,16932,16977,Side,Intermediate,3,Add,1.5,16177,16217,0,int-lateral,int-lateral
1066,Grasp01067,subject 6,lateral tripod,cooking,subject_6_gopro_seg_2.mp4,17410,17817,Side,Intermediate,3,Add,13.57,16647,17053,0,int-lateral,int-lateral
1067,Grasp01068,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_2.mp4,17829,17836,Pad,Precision,2-5,Abd,0.23,17065,17072,0,pre-prismatic,pre-prismatic
1068,Grasp01069,subject 6,index finger extension,cooking,subject_6_gopro_seg_2.mp4,17841,18334,Palm,Power,3-5,Add,16.43,17077,17535,1,pow-prismatic,pow-oblique
1069,Grasp01070,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_2.mp4,18335,18381,Pad,Precision,2-3,Abd,1.53,17536,17582,2,pre-prismatic,pre-prismatic
1070,Grasp01071,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_3.mp4,49,73,Pad,Precision,2-5,Abd,0.8,177,199,0,pre-prismatic,pre-prismatic
1073,Grasp01074,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,473,614,Pad,Precision,2,Abd,4.7,593,734,0,pre-prismatic,pre-pinch
1075,Grasp01076,subject 6,large diameter,cooking,subject_6_gopro_seg_3.mp4,713,777,Palm,Power,2-5,Abd,2.13,833,897,0,pow-prismatic,pow-cylindric
1076,Grasp01077,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,823,912,Side,Intermediate,3,Add,2.97,943,1032,0,int-lateral,int-lateral
1079,Grasp01080,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_3.mp4,1194,1207,Pad,Precision,2-3,Abd,0.43,1314,1325,0,pre-prismatic,pre-prismatic
1080,Grasp01081,subject 6,index finger extension,cooking,subject_6_gopro_seg_3.mp4,1215,1726,Palm,Power,3-5,Add,17.03,1333,1844,1,pow-prismatic,pow-oblique
1081,Grasp01082,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_3.mp4,1727,1761,Pad,Precision,2-3,Abd,1.13,1845,1879,2,pre-prismatic,pre-prismatic
1083,Grasp01084,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,1991,2006,Pad,Precision,2,Abd,0.5,2109,2124,0,pre-prismatic,pre-pinch
1085,Grasp01086,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,2089,2162,Pad,Precision,2,Abd,2.43,2207,2280,2,pre-prismatic,pre-pinch
1087,Grasp01088,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,2532,2646,Side,Intermediate,3,Add,3.8,2648,2762,0,int-lateral,int-lateral
1089,Grasp01090,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,2780,2800,Side,Intermediate,3,Add,0.67,2896,2916,0,int-lateral,int-lateral
1093,Grasp01094,subject 6,quadpod,cooking,subject_6_gopro_seg_3.mp4,4381,4425,Pad,Precision,2-4,Abd,1.47,4497,4541,0,circular,pre-circular
1094,Grasp01095,subject 6,adduction grip,cooking,subject_6_gopro_seg_3.mp4,4431,4456,Side,Intermediate,3,Abd,0.83,4547,4572,0,pre-prismatic,pre-pinch
1095,Grasp01096,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,4465,4599,Side,Intermediate,3,Add,4.47,4581,4715,0,int-lateral,int-lateral
1097,Grasp01098,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_3.mp4,4749,4762,Pad,Precision,2-3,Abd,0.43,4865,4878,0,pre-prismatic,pre-prismatic
1099,Grasp01100,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_3.mp4,11405,11472,Pad,Precision,2-5,Abd,2.23,11522,11592,0,pre-prismatic,pre-prismatic
1100,Grasp01101,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_3.mp4,11864,11904,Pad,Precision,2-4,Abd,1.33,11984,12024,0,pre-prismatic,pre-prismatic
1101,Grasp01102,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_3.mp4,11913,11925,Pad,Precision,2-3,Abd,0.4,12033,12040,0,pre-prismatic,pre-prismatic
1103,Grasp01104,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_3.mp4,12495,12620,Pad,Precision,2-5,Abd,4.17,12610,12735,0,pre-prismatic,pre-prismatic
1104,Grasp01105,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_3.mp4,13433,13485,Pad,Precision,2-4,Abd,1.73,13536,13589,0,pre-prismatic,pre-prismatic
1105,Grasp01106,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,13519,13861,Pad,Precision,2,Abd,11.4,13623,13962,0,pre-prismatic,pre-pinch
1106,Grasp01107,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_3.mp4,13881,14033,Pad,Precision,2-4,Abd,5.07,13981,14133,0,pre-prismatic,pre-prismatic
1107,Grasp01108,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_3.mp4,14154,14437,Pad,Precision,2-4,Abd,9.43,14254,14537,0,pre-prismatic,pre-prismatic
1108,Grasp01109,subject 6,prismatic 3 finger,cooking,subject_6_gopro_seg_3.mp4,14877,15064,Pad,Precision,2-4,Abd,6.23,14977,15164,0,pre-prismatic,pre-prismatic
1109,Grasp01110,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_3.mp4,15231,15272,Pad,Precision,2-3,Abd,1.37,15331,15372,0,pre-prismatic,pre-prismatic
1111,Grasp01112,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,15358,15381,Side,Intermediate,3,Add,0.77,15451,15482,0,int-lateral,int-lateral
1112,Grasp01113,subject 6,prismatic 2 finger,cooking,subject_6_gopro_seg_3.mp4,15389,15427,Pad,Precision,2-3,Abd,1.27,15490,15528,0,pre-prismatic,pre-prismatic
1113,Grasp01114,subject 6,large diameter,cooking,subject_6_gopro_seg_3.mp4,15441,15739,Palm,Power,2-5,Abd,9.93,15542,15829,0,pow-prismatic,pow-cylindric
1114,Grasp01115,subject 6,power sphere,cooking,subject_6_gopro_seg_3.mp4,15805,15819,Palm,Power,2-5,Abd,0.47,15895,15909,0,circular,pow-circular
1115,Grasp01116,subject 6,quadpod,cooking,subject_6_gopro_seg_3.mp4,15821,15998,Pad,Precision,2-4,Abd,5.9,15911,16088,1,circular,pre-circular
1118,Grasp01119,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_3.mp4,16260,16274,Pad,Precision,2-5,Abd,0.47,16350,16364,4,pre-prismatic,pre-prismatic
1119,Grasp01120,subject 6,adducted thumb,cooking,subject_6_gopro_seg_3.mp4,16289,16310,Palm,Power,2-5,Add,0.7,16379,16400,5,pow-prismatic,pow-oblique
1120,Grasp01121,subject 6,prismatic 4 finger,cooking,subject_6_gopro_seg_3.mp4,16311,16396,Pad,Precision,2-5,Abd,2.83,16401,16486,6,pre-prismatic,pre-prismatic
1122,Grasp01123,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,16745,16762,Side,Intermediate,3,Add,0.57,16835,16852,0,int-lateral,int-lateral
1125,Grasp01126,subject 6,lateral tripod,cooking,subject_6_gopro_seg_3.mp4,16996,17022,Side,Intermediate,3,Add,0.87,17086,17112,0,int-lateral,int-lateral
1126,Grasp01127,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,17201,17233,Pad,Precision,2,Abd,1.07,17291,17322,0,pre-prismatic,pre-pinch
1127,Grasp01128,subject 6,inferior pincer,cooking,subject_6_gopro_seg_3.mp4,17240,17280,Pad,Precision,2,Abd,1.33,17329,17369,0,pre-prismatic,pre-pinch
1128,Grasp01129,subject 6,inferior pincer,cooking,subject_6_gopro_seg_3.mp4,17430,17484,Pad,Precision,2,Abd,1.8,17519,17573,0,pre-prismatic,pre-pinch
1129,Grasp01130,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,17508,17543,Pad,Precision,2,Abd,1.17,17597,17632,0,pre-prismatic,pre-pinch
1132,Grasp01133,subject 6,palmar pinch,cooking,subject_6_gopro_seg_3.mp4,17766,17831,Pad,Precision,2,Abd,2.17,0,1,0,pre-prismatic,pre-pinch
1134,Grasp01135,subject 6,palmar pinch,housekeeping,subject_6_gopro_seg_4.mp4,212,237,Pad,Precision,2,Abd,0.83,197,222,0,pre-prismatic,pre-pinch
1135,Grasp01136,subject 6,lateral tripod,housekeeping,subject_6_gopro_seg_4.mp4,247,283,Side,Intermediate,3,Add,1.2,232,268,0,int-lateral,int-lateral
1136,Grasp01137,subject 6,prismatic 4 finger,housekeeping,subject_6_gopro_seg_4.mp4,345,368,Pad,Precision,2-5,Abd,0.77,330,353,0,pre-prismatic,pre-prismatic
1138,Grasp01139,subject 6,palmar pinch,housekeeping,subject_6_gopro_seg_4.mp4,394,419,Pad,Precision,2,Abd,0.83,379,404,0,pre-prismatic,pre-pinch
1139,Grasp01140,subject 6,prismatic 3 finger,housekeeping,subject_6_gopro_seg_4.mp4,425,451,Pad,Precision,2-4,Abd,0.87,410,436,0,pre-prismatic,pre-prismatic
1141,Grasp01142,subject 6,prismatic 2 finger,housekeeping,subject_6_gopro_seg_4.mp4,565,572,Pad,Precision,2-3,Abd,0.23,550,557,1,pre-prismatic,pre-prismatic
1142,Grasp01143,subject 6,prismatic 3 finger,housekeeping,subject_6_gopro_seg_4.mp4,595,631,Pad,Precision,2-4,Abd,1.2,580,616,0,pre-prismatic,pre-prismatic
1143,Grasp01144,subject 6,palmar pinch,housekeeping,subject_6_gopro_seg_4.mp4,653,677,Pad,Precision,2,Abd,0.8,638,662,0,pre-prismatic,pre-pinch
1145,Grasp01146,subject 6,lateral tripod,housekeeping,subject_6_gopro_seg_4.mp4,1454,1468,Side,Intermediate,3,Add,0.47,1352,1366,0,int-lateral,int-lateral
1146,Grasp01147,subject 6,prismatic 4 finger,housekeeping,subject_6_gopro_seg_4.mp4,1477,1562,Pad,Precision,2-5,Abd,2.83,1375,1448,0,pre-prismatic,pre-prismatic
1149,Grasp01150,subject 6,prismatic 4 finger,housekeeping,subject_6_gopro_seg_4.mp4,1618,1626,Pad,Precision,2-5,Abd,0.27,1504,1511,1,pre-prismatic,pre-prismatic
1151,Grasp01152,subject 6,prismatic 2 finger,housekeeping,subject_6_gopro_seg_4.mp4,1729,1749,Pad,Precision,2-3,Abd,0.67,1605,1625,3,pre-prismatic,pre-prismatic
1152,Grasp01153,subject 6,palmar pinch,housekeeping,subject_6_gopro_seg_4.mp4,1754,1784,Pad,Precision,2,Abd,1.0,1630,1660,0,pre-prismatic,pre-pinch
1153,Grasp01154,subject 6,tip pinch,housekeeping,subject_6_gopro_seg_4.mp4,1804,1820,Pad,Precision,2,Abd,0.53,1681,1688,0,pre-prismatic,pre-pinch
1154,Grasp01155,subject 6,lateral tripod,housekeeping,subject_6_gopro_seg_4.mp4,1829,1932,Side,Intermediate,3,Add,3.43,1697,1800,0,int-lateral,int-lateral
1156,Grasp01157,subject 6,lateral tripod,housekeeping,subject_6_gopro_seg_4.mp4,2478,2492,Side,Intermediate,3,Add,0.47,2311,2325,0,int-lateral,int-lateral
1158,Grasp01159,subject 6,lateral,housekeeping,subject_6_gopro_seg_4.mp4,2712,2741,Side,Intermediate,2-5,Add,0.97,2545,2571,0,int-lateral,int-lateral
1159,Grasp01160,subject 6,palmar pinch,housekeeping,subject_6_gopro_seg_4.mp4,2747,2765,Pad,Precision,2,Abd,0.6,2577,2595,0,pre-prismatic,pre-pinch
1160,Grasp01161,subject 6,palmar pinch,housekeeping,subject_6_gopro_seg_4.mp4,2921,2961,Pad,Precision,2,Abd,1.33,2749,2791,0,pre-prismatic,pre-pinch
1163,Grasp01164,subject 6,lateral,laundry,subject_6_gopro_seg_4.mp4,3705,3756,Side,Intermediate,2-5,Add,1.7,3478,3528,0,int-lateral,int-lateral
1164,Grasp01165,subject 6,lateral,laundry,subject_6_gopro_seg_4.mp4,3792,3847,Side,Intermediate,2-5,Add,1.83,3564,3619,0,int-lateral,int-lateral
